Material outward,,,,
#,Date,Project Order No,RRA Invoice No,Customer Name
825,2024-08-23,sdsdswedwddc,dc dc,RASHMI HEATERS PVT.LTD.
,Item Code,Quantity,Amount
,SS 304 SIZE : 735 X 15 X 3 MM THK,2,
,SS 304 SIZE : 1055 X 15 X 3 MM THK,2,
,Project Total,26,0
770,2024-07-01,EMAIL-1.7.24,,BHR Trading Co.
,Item Code,Quantity,Amount
,SS 304 SIZE : 35 X 20 X 0.8 MM THK,2000,
,Project Total,2000,0
769,2024-07-01,50055006508,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-130-1285866,90,
,24-130-1006047,400,
,24-130-1388202,2,
,24-254-1041143,1000,
,24-130-1225141,50,
,24-130-1176449,25,
,24-130-1111612,3,
,24-130-1181920,222,
,24-130-1208451,206,
,24-130-1269408,7,
,24-254-1277242,2,
,24-130-1017012,2000,
,24-130-1258557,2,
,24-130-1272963,1,
,24-130-1012587,3,
,Project Total,4013,0
768,2024-07-01,HYT-13437,,HYT ENGINEERING COMPANY PVT LTD.
,Item Code,Quantity,Amount
,AJTB,1,
,PWL,1,
,BOGIE TURN TABLE,1,
,Project Total,3,0
767,2024-07-01,POFS000061335/1.7.24,,HRS PROCESS SYSTEMS LTD.
,Item Code,Quantity,Amount
,SS 304 SIZE : 105 X 75 X 0.8 MM THK,12,
,Project Total,12,0
766,2024-06-29,4500108464,,Praj Industries Ltd.
,Item Code,Quantity,Amount
,2461 - SS 304 SIZE : 240 X 170 X 2 MM THK,1,
,2461 - SS 304 SIZE : 240 X 170 X 2 MM THK,4,
,2465 - SS 304 SIZE : 240 X 60 X 2 MM THK,2,
,Project Total,7,0
765,2024-06-29,POFS000061335/29.06.2024,,HRS PROCESS SYSTEMS LTD.
,Item Code,Quantity,Amount
,SS 304 SIZE : 105 X 75 X 0.8 MM THK,17,
,Project Total,17,0
764,2024-06-28,AEPL/24-25/0880,,Autoshell Electromech Pvt.Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 95 X 65 X 0.8 MM THK,14,
,SS 304 SIZE : 95 X 95 X 0.8 MM THK,28,
,Project Total,42,0
763,2024-06-28,EMAIL/28.06.2024,,EagleBurgmann India Pvt. Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 115 X 115 X 0.8 MM THK,263,
,SS 316 SIZE : 115 X 115 X 0.8 MM THK,100,
,SS 304 SIZE : 80 X 30 X 1 MM THK,10,
,Project Total,373,0
762,2024-06-28,PO002296,,SS Techno Limited
,Item Code,Quantity,Amount
,SS 304 SIZE : 6 INCH X 10 INCH X 0.7 MM THK,10,
,SS 304 SIZE : 6 INCH X 4 INCH X 0.7 MM THK,2,
,Project Total,12,0
761,2024-06-26,EMAIL/26.06.2024,,Hydroteck Engineering Company
,Item Code,Quantity,Amount
,SS 304 SIZE : 207 X 81 X 1.5 MM THK,21,
,Project Total,21,0
760,2024-06-26,41054000775-4,,Forbes Marshall ARCA Pvt Ltd.
,Item Code,Quantity,Amount
,20-054-1021244,500,
,Project Total,500,0
759,2024-06-26,50055006094,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-254-1041143,1000,
,Project Total,1000,0
758,2024-06-26,02441919,,EagleBurgmann India Pvt. Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 1200 X 60 X 3 MM THK,1,
,SS 304 SIZE : 90 X 30 X 1 MM THK,123,
,SS 304 SIZE : 75 X 25 X 1 MM THK,5,
,Project Total,129,0
757,2024-06-25,24PO00010,,R S Industrial Solutions
,Item Code,Quantity,Amount
,SS 316 SIZE : 140 X 140 X 1.5 MM THK,52,
,SS 316 SIZE : 300 X 240 X 1.5 MM THK,4,
,Project Total,56,0
756,2024-06-25,EMAIL/25.06.2024,,Manjushree Fintube Pvt Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 125 X 75 X 0.8 MM THK,4,
,SS 304 SIZE : 200 X 125 X 0.8 MM THK,7,
,Project Total,11,0
755,2024-06-25,EMAIL-25.06.2024,,Quadrogen India Private Limited
,Item Code,Quantity,Amount
,SS 304 SIZE : 155 X 155 X 2 MM THK,2,
,Project Total,2,0
754,2024-06-25,PT/2023-24/RRA/NP/02,,PRASAHITYUTA TECHNOLOGIES
,Item Code,Quantity,Amount
,SS 304 SIZE : 250 X 150 X 1 MM THK,8,
,Project Total,8,0
753,2024-06-25,PN143115,,Ratna Gears Pvt.Ltd.
,Item Code,Quantity,Amount
,ALU.SIZE : 105 X 20 X 2 MM THK,2,
,Project Total,2,0
752,2024-06-24,50055005700,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-130-1388856,1,
,24-130-1388857,1,
,Project Total,2,0
751,2024-06-24,POP-2425-0260,,ELINWG India Pvt. Ltd
,Item Code,Quantity,Amount
,SS 304 SIZE : 105 X 74 X 0.5 MM THK,88,
,SS 304 SIZE : 125 X 20 X 0.8 MM THK,88,
,SS 304 SIZE : 105 X 74 X 0.5 MM THK,26,
,SS 304 SIZE : 125 X 20 X 0.8 MM THK,26,
,Project Total,228,0
750,2024-06-24,POFS000061335/24.06.2024,,HRS PROCESS SYSTEMS LTD.
,Item Code,Quantity,Amount
,SS 304 SIZE : 105 X 75 X 0.8 MM THK,16,
,Project Total,16,0
749,2024-06-23,AEPL/24-25/0830,,Autoshell Electromech Pvt.Ltd.
,Item Code,Quantity,Amount
,SS 304 SIZE : 120 X 40 X 0.8 MM THK,88,
,SS 304 SIZE : 95 X 95 X 0.8 MM THK,6,
,SS 304 SIZE : 95 X 65 X 0.8 MM THK,6,
,SS 304 SIZE : 120 X 130 X 0.8 MM THK,12,
,SS 304 SIZE : 130 X 120 X 0.8 MM THK,4,
,SS 304 SIZE : 122 X 82 X 0.8 MM THK,46,
,SS 304 SIZE : 119 X 121 X 0.8 MM THK,26,
,Project Total,188,0
748,2024-06-22,EMAIL-22.06.2024,,STEAMLOK ENGINEERING PVT. LTD.
,Item Code,Quantity,Amount
,SS 304 SIZE : 52.5 X 41 X 0.5 MM THK,200,
,SS 304 SIZE : 52.5 X 41 X 0.5 MM THK,200,
,SS 304 SIZE : 52.5 X 41 X 0.5 MM THK,200,
,Project Total,600,0
747,2024-06-22,POS2425/0408,,M E Energy Private Limited
,Item Code,Quantity,Amount
,SS 304 SIZE : 225 X 150 X 1.5 MM THK,9,
,SS 304 SIZE : 225 X 150 X 1.5 MM THK,1,
,Project Total,10,0
746,2024-06-22,241662,,EUREKA ENGINEERING ENTERPRISES
,Item Code,Quantity,Amount
,ALU.SIZE : 60 X 18 X 0.5 MM THK,1500,
,ALU.SIZE : 60 X 25 X 0.5 MM THK,500,
,Project Total,2000,0
745,2024-06-22,AP/JPO/CA/00491/24-25,,Ador Powertron Ltd
,Item Code,Quantity,Amount
,ALU.SIZE : 150 X 90 X 1 MM THK,2,
,Project Total,2,0
744,2024-06-22,50055005891,,Forbes Marshall P.Ltd (Chakan)
,Item Code,Quantity,Amount
,24-130-1111611,15,
,24-130-1111612,3,
,24-130-1111613,15,
,Project Total,33,0
743,2024-06-22,13377-YUGL 03,,HYT ENGINEERING COMPANY PVT LTD.
,Item Code,Quantity,Amount
,ALU.SIZE : 240 X 230 X 4 MM THK,1,
,ALU.SIZE : 310 X 100 X 4 MM THK,1,
,Project Total,2,0
742,2024-06-22,13352-NGUF 229,,HYT ENGINEERING COMPANY PVT LTD.
,Item Code,Quantity,Amount
,ALU.SIZE : 495 X 70 X 2 MM THK,1,
,ALU.SIZE : 165 X 70 X 2 MM THK,1,
,Project Total,2,0
741,2024-06-21,3500108565,,Thyssenkrupp Industries India P.L.
,Item Code,Quantity,Amount
,SS 304 SIZE : 1500 X 1200 X 3 MM THK,1,
,Project Total,1,0
740,2024-06-21,EMAIL-21.06.2024,,Sonali Enterprises
,Item Code,Quantity,Amount
,ALU.SIZE : 500 X 200 X 1 MM THK,6,
,Project Total,6,0
739,2024-06-19,24PO0008,,R S Industrial Solutions
,Item Code,Quantity,Amount
,SS 304 SIZE : 80 X 20 X 0.8 MM THK,90,
,SS 304 SIZE : 80  X 20 X 0.8 MM THK,120,
,SS 316 SIZE : 140 X 140 X 1.5 MM THK,8,
,SS 316 SIZE : 300 X 240 X 1.5 MM THK,4,
,Project Total,222,0
738,2024-06-19,4500766273,,Kelvion India Private Limited
,Item Code,Quantity,Amount
,SS 304 SIZE : 168 X 105 X 0.8 MM THK,1,
,SS 304 SIZE : 140 X 140 X 2 MM THK,1,
,SS 304 SIZE : 140 X 120 X 0.8 MM THK,1,
,ALU.SIZE : 60 X 105 X 0.8 MM THK,1,
,SS 304 SIZE : 168 X 105 X 0.8 MM THK,1,
,SS 304 SIZE : 165 X 105 X 2 MM THK,1,
,SS 304 SIZE : 226 X 150 X 0.8 MM THK,1,
,SS 304 SIZE : 226 X 150 X 0.8 MM THK,3,
,SS 304 SIZE : 168 X 105 X 0.8 MM THK,2,
,SS 304 SIZE : 160 X 160 X 2 MM THK,2,
,SS 316 SIZE : 168 X 105 X 3 MM THK,2,
,SS 316 SIZE : 140 X 140 X 3 MM THK,2,
,SS 316 SIZE : 200 X 145 X 3 MM THK,2,
,SS 304 SIZE : 236 X 150 X 2 MM THK,1,
,SS 304 SIZE : 226 X 150 X 0.8 MM THK,1,
,SS 304 SIZE : 226 X 150 X 0.8 MM THK,5,
,Project Total,27,0
